customer_id,signup_date,age_band,postal_district,income_tier,latent_segment,total_spend_24mo,avg_basket_size,visits_per_week,weekend_browse_fraction,luxury_category_fraction,distinct_categories,days_since_last_visit,marketing_email_open_rate
C00060,2025-10-25,18-24,10,high,corporate_gifter_seasonal,2360.03,206.31,0.506,0.388,0.744,5,0,0.682
C00061,2024-10-13,45-54,01,high,corporate_gifter_seasonal,3166.73,169.13,0.214,0.38,0.821,5,3,0.318
C00062,2025-04-19,25-34,24,mid,family_bulk_weekly,4925.58,104.85,0.873,0.49,0.096,2,3,0.667
C00063,2026-04-01,55+,17,mid,new_digital_native,55.94,58.93,0.318,0.459,0.553,10,3,0.62
C00064,2025-06-23,45-54,16,mid,family_bulk_weekly,5836.25,105.54,1.243,0.489,0.246,9,1,0.202
C00065,2025-03-02,45-54,11,high,corporate_gifter_seasonal,1896.7,165.5,0.168,0.507,0.662,9,3,0.33
C00066,2025-12-15,35-44,03,high,weekday_luxury_regular,7792.06,176.02,2.388,0.223,0.829,7,1,0.297
C00067,2024-09-14,18-24,54,low,weekend_browser_bargain,1407.03,23.34,0.693,0.706,0.066,2,6,0.252
C00068,2025-05-14,35-44,02,high,weekday_luxury_regular,28446.0,236.37,2.442,0.186,0.699,8,3,0.41
C00069,2025-11-01,45-54,77,low,family_bulk_weekly,3825.51,93.33,1.457,0.45,0.499,7,5,0.613
C00070,2026-04-08,18-24,02,high,new_digital_native,47.5,43.17,0.467,0.469,0.312,4,25,0.737
C00071,2025-11-05,55+,23,mid,lapsed_reactivatable,108.19,47.77,0.083,0.408,0.423,4,85,0.853
C00072,2025-09-16,25-34,17,mid,family_bulk_weekly,4769.77,141.16,1.055,0.547,0.36,7,0,0.644
C00073,2025-05-12,25-34,54,low,weekend_browser_bargain,360.56,14.28,0.627,0.743,0.113,2,3,0.286
C00074,2026-04-20,55+,78,low,new_digital_native,123.93,59.29,2.0,0.471,0.373,2,19,0.667
C00075,2024-11-01,35-44,76,low,family_bulk_weekly,6210.53,68.33,1.145,0.551,0.319,7,3,0.809
C00076,2026-01-15,18-24,78,low,weekend_browser_bargain,440.3,43.81,0.714,0.758,0.179,3,6,0.266
C00077,2026-02-04,45-54,15,mid,casual_long_tail,222.86,62.63,0.359,0.635,0.55,6,5,0.795
C00078,2024-09-25,18-24,53,low,weekend_browser_bargain,1292.98,22.85,0.767,0.906,0.041,7,0,0.379
C00079,2024-09-10,55+,10,high,lapsed_reactivatable,1188.67,88.62,0.142,0.457,0.48,8,124,0.406
C00080,2026-04-03,35-44,15,mid,new_digital_native,52.92,54.27,0.35,0.503,0.325,9,24,0.617
C00081,2026-03-31,35-44,52,low,new_digital_native,91.92,48.61,0.609,0.328,0.352,8,22,0.431
C00082,2025-08-18,45-54,15,mid,casual_long_tail,1360.81,55.98,0.677,0.523,0.365,1,2,0.252
C00083,2026-04-13,45-54,77,low,new_digital_native,84.75,44.98,1.4,0.591,0.6,7,25,0.636
C00084,2024-10-03,25-34,11,high,family_bulk_weekly,9587.03,103.51,1.049,0.453,0.415,5,2,0.714
C00085,2025-01-02,25-34,52,low,casual_long_tail,1361.82,41.89,0.441,0.457,0.275,8,0,0.49
C00086,2025-07-02,25-34,53,low,weekend_browser_bargain,1666.97,42.79,0.902,0.784,0.148,2,1,0.267
C00087,2026-04-13,55+,02,high,new_digital_native,51.89,49.63,0.7,0.452,0.381,2,25,0.699
C00088,2026-04-19,25-34,01,high,new_digital_native,120.04,57.75,2.0,0.458,0.404,5,26,0.713
C00089,2026-03-24,18-24,52,low,casual_long_tail,56.56,55.18,0.233,0.602,0.543,1,4,0.734
C00090,2025-10-05,35-44,01,high,family_bulk_weekly,2688.58,89.91,1.295,0.556,0.157,3,6,0.397
C00091,2024-10-05,18-24,52,low,weekend_browser_bargain,3470.59,45.95,0.979,0.804,0.003,2,3,0.283
C00092,2025-10-15,35-44,54,low,lapsed_reactivatable,80.5,44.0,0.074,0.391,0.255,6,75,0.268
C00093,2024-10-15,25-34,03,high,corporate_gifter_seasonal,7893.72,334.07,0.29,0.305,0.748,8,0,0.431
C00094,2026-03-12,45-54,10,high,corporate_gifter_seasonal,433.34,200.04,0.333,0.335,0.639,5,5,0.752
C00095,2024-06-11,45-54,02,high,family_bulk_weekly,9718.45,70.76,1.233,0.563,0.322,3,1,0.586
C00096,2026-04-01,25-34,23,mid,new_digital_native,63.15,59.05,0.318,0.617,0.249,4,9,0.683
C00097,2025-12-09,55+,53,low,casual_long_tail,246.17,42.23,0.311,0.464,0.471,5,2,0.633
C00098,2025-12-16,45-54,15,mid,lapsed_reactivatable,203.43,73.29,0.164,0.513,0.407,6,123,0.555
C00099,2025-01-04,35-44,23,mid,lapsed_reactivatable,582.07,61.03,0.148,0.468,0.331,6,137,0.875
C00100,2026-01-23,35-44,03,high,weekday_luxury_regular,3086.62,145.5,1.867,0.047,0.87,6,0,0.846
C00101,2026-03-30,55+,78,low,new_digital_native,58.28,55.72,0.292,0.32,0.299,7,13,0.709
C00102,2025-04-28,55+,03,high,family_bulk_weekly,7948.59,102.12,1.381,0.529,0.214,5,4,0.366
C00103,2025-05-02,45-54,03,high,weekday_luxury_regular,20854.09,186.13,2.772,0.082,0.891,6,4,0.228
C00104,2025-06-28,25-34,78,low,weekend_browser_bargain,1182.81,32.6,0.773,0.603,0.112,1,2,0.419
C00105,2025-09-21,45-54,03,high,weekday_luxury_regular,20536.67,218.46,2.846,0.234,0.826,8,4,0.607
C00106,2025-07-28,18-24,76,low,weekend_browser_bargain,998.95,38.02,0.651,0.64,0.089,1,4,0.213
C00107,2026-03-08,25-34,02,high,corporate_gifter_seasonal,273.85,264.43,0.152,0.396,0.825,6,6,0.622
C00108,2025-10-19,45-54,23,mid,casual_long_tail,632.19,43.06,0.489,0.386,0.341,2,0,0.535
C00109,2025-08-05,25-34,78,low,weekend_browser_bargain,769.79,28.27,0.778,0.939,0.095,5,4,0.374
C00110,2024-09-09,35-44,03,high,weekday_luxury_regular,31311.05,198.85,2.203,0.097,0.882,4,2,0.475
C00111,2024-10-10,45-54,11,high,weekday_luxury_regular,15579.34,71.18,2.75,0.084,0.938,5,4,0.642
C00112,2024-06-08,18-24,03,high,family_bulk_weekly,13634.37,113.32,1.197,0.481,0.451,5,2,0.558
C00113,2025-04-16,35-44,17,mid,lapsed_reactivatable,457.24,50.49,0.151,0.514,0.186,6,113,0.452
C00114,2024-06-12,35-44,03,high,weekday_luxury_regular,31169.07,138.73,2.11,0.113,0.79,8,5,0.648
C00115,2024-12-04,18-24,53,low,weekend_browser_bargain,2258.02,35.95,0.873,0.697,0.079,2,3,0.132
C00116,2025-08-26,25-34,52,low,weekend_browser_bargain,465.61,28.76,0.613,0.782,0.121,6,6,0.13
C00117,2024-07-29,18-24,77,low,weekend_browser_bargain,3345.52,41.81,0.94,0.841,0.188,2,6,0.206
C00118,2025-09-29,45-54,03,high,weekday_luxury_regular,7413.44,92.87,2.922,0.145,0.876,6,2,0.666
C00119,2025-01-04,25-34,52,low,weekend_browser_bargain,2463.51,40.43,0.93,0.786,0.283,1,4,0.268
C00120,2024-07-08,45-54,54,low,family_bulk_weekly,9422.56,91.69,1.177,0.454,0.088,2,1,0.746
C00121,2025-12-26,55+,02,high,corporate_gifter_seasonal,1174.69,210.95,0.415,0.349,0.611,6,3,0.263
C00122,2025-10-15,45-54,02,high,casual_long_tail,1234.2,60.95,0.663,0.556,0.471,6,3,0.223
C00123,2024-06-01,25-34,78,low,weekend_browser_bargain,2142.72,35.52,0.74,0.668,0.109,2,4,0.233
C00124,2025-08-29,18-24,52,low,family_bulk_weekly,1967.63,64.81,0.945,0.568,0.511,5,6,0.738
C00125,2026-01-20,45-54,53,low,family_bulk_weekly,1699.38,106.98,1.204,0.598,0.338,3,6,0.332
C00126,2025-01-09,45-54,02,high,weekday_luxury_regular,37749.45,233.44,2.701,0.243,0.931,6,2,0.524
C00127,2026-04-23,18-24,52,low,new_digital_native,83.09,41.79,2.0,0.571,0.366,3,12,0.629
C00128,2025-09-10,35-44,15,mid,lapsed_reactivatable,424.49,54.9,0.218,0.576,0.284,8,143,0.258
C00129,2024-08-22,45-54,52,low,family_bulk_weekly,9729.91,85.69,1.414,0.494,0.363,7,5,0.491
C00130,2025-01-16,35-44,11,high,family_bulk_weekly,7016.27,92.9,1.258,0.44,0.16,3,4,0.315
C00131,2025-12-19,25-34,52,low,weekend_browser_bargain,690.76,51.87,0.728,0.746,0.25,2,4,0.369
C00132,2026-04-08,55+,17,mid,new_digital_native,55.06,51.97,0.467,0.469,0.559,4,13,0.277
C00133,2025-04-10,18-24,16,mid,lapsed_reactivatable,587.36,74.4,0.148,0.598,0.397,3,143,0.768
C00134,2024-09-17,45-54,01,high,casual_long_tail,2009.05,45.65,0.624,0.391,0.437,3,4,0.686
C00135,2024-11-15,35-44,02,high,weekday_luxury_regular,11368.68,67.71,2.605,0.192,0.924,8,1,0.522
C00136,2026-01-27,18-24,76,low,weekend_browser_bargain,322.17,53.82,0.488,0.747,0.022,4,4,0.182
C00137,2024-07-08,55+,01,high,weekday_luxury_regular,52025.58,233.02,2.729,0.223,0.867,6,0,0.835
C00138,2024-09-12,18-24,02,high,lapsed_reactivatable,1367.36,91.83,0.179,0.381,0.439,4,163,0.849
C00139,2024-12-10,45-54,78,low,family_bulk_weekly,6626.31,71.95,1.192,0.502,0.427,2,1,0.371
C00140,2025-10-10,25-34,52,low,lapsed_reactivatable,309.34,69.68,0.179,0.549,0.201,4,80,0.459
C00141,2026-01-21,25-34,77,low,weekend_browser_bargain,237.5,25.14,0.761,0.751,0.139,2,6,0.581
C00142,2025-02-09,35-44,17,mid,casual_long_tail,1455.62,35.94,0.607,0.66,0.407,5,3,0.588
C00143,2025-12-10,45-54,15,mid,family_bulk_weekly,1431.26,73.68,1.254,0.46,0.334,5,0,0.586
C00144,2025-10-13,45-54,10,high,weekday_luxury_regular,10057.96,192.23,2.115,0.225,1.0,8,4,0.434
C00145,2026-04-06,35-44,02,high,new_digital_native,102.05,48.85,0.824,0.401,0.364,4,14,0.787
C00146,2026-01-13,55+,11,high,lapsed_reactivatable,44.2,40.8,0.07,0.507,0.206,7,61,0.714
C00147,2026-04-22,45-54,16,mid,new_digital_native,42.03,39.22,1.0,0.519,0.519,3,24,0.554
C00148,2026-04-07,18-24,03,high,new_digital_native,30.57,33.95,0.438,0.515,0.351,3,18,0.483
C00149,2025-02-08,45-54,02,high,lapsed_reactivatable,649.86,46.69,0.223,0.585,0.479,5,126,0.594
C00150,2025-01-20,55+,01,high,family_bulk_weekly,4243.48,56.73,1.177,0.487,0.185,4,5,0.312
C00151,2025-04-28,25-34,77,low,weekend_browser_bargain,1257.71,25.88,0.856,0.762,0.023,3,0,0.428
C00152,2025-04-13,25-34,24,mid,casual_long_tail,987.88,53.65,0.523,0.436,0.354,9,5,0.335
C00153,2026-04-19,35-44,78,low,new_digital_native,46.23,49.9,1.0,0.697,0.399,6,28,0.534
C00154,2024-09-04,35-44,01,high,weekday_luxury_regular,54832.77,247.96,2.831,0.245,0.701,9,5,0.63
C00155,2025-09-09,35-44,03,high,weekday_luxury_regular,20839.89,219.57,2.54,0.352,0.842,5,0,0.521
C00156,2024-12-22,18-24,77,low,weekend_browser_bargain,2702.01,43.82,0.834,0.938,0.198,2,1,0.388
C00157,2024-08-24,18-24,15,mid,casual_long_tail,1981.39,47.69,0.438,0.516,0.237,5,4,0.803
C00158,2025-04-14,55+,01,high,family_bulk_weekly,4215.43,70.59,1.123,0.702,0.398,8,5,0.587
C00159,2025-11-12,18-24,54,low,weekend_browser_bargain,587.36,24.66,0.951,0.837,0.198,2,1,0.337
C00160,2025-12-04,55+,02,high,weekday_luxury_regular,12355.3,216.67,2.5,0.0,0.925,6,1,0.709
C00161,2025-10-07,18-24,52,low,weekend_browser_bargain,865.71,43.54,0.707,0.825,0.082,2,3,0.262
C00162,2024-12-04,18-24,54,low,weekend_browser_bargain,2255.34,36.2,0.832,0.706,0.016,4,2,0.63
C00163,2026-04-19,45-54,01,high,new_digital_native,43.39,45.21,1.0,0.283,0.299,4,16,0.436
C00164,2025-11-29,18-24,52,low,weekend_browser_bargain,703.19,37.61,0.724,0.756,0.087,1,2,0.078
C00165,2024-11-11,35-44,01,high,lapsed_reactivatable,768.83,80.23,0.119,0.475,0.512,5,70,0.427
C00166,2026-04-03,18-24,54,low,new_digital_native,58.55,59.09,0.35,0.42,0.476,4,27,0.435
C00167,2024-05-30,25-34,76,low,weekend_browser_bargain,2485.19,28.55,0.788,0.788,0.221,4,6,0.272
C00168,2026-02-18,18-24,11,high,casual_long_tail,495.15,53.47,1.094,0.421,0.396,4,2,0.54
C00169,2024-11-07,25-34,76,low,weekend_browser_bargain,2737.08,44.42,0.724,0.833,0.231,2,6,0.571
C00170,2026-03-30,45-54,54,low,new_digital_native,114.83,58.09,0.583,0.401,0.344,5,24,0.773
C00171,2025-05-18,45-54,10,high,weekday_luxury_regular,16010.26,102.49,2.656,0.08,0.96,9,5,0.62
C00172,2026-04-17,55+,54,low,new_digital_native,91.73,46.79,2.0,0.486,0.46,6,15,0.456
C00173,2025-07-30,55+,52,low,family_bulk_weekly,5230.95,87.71,1.39,0.577,0.231,4,0,0.42
C00174,2025-08-13,55+,11,high,corporate_gifter_seasonal,1838.3,261.74,0.194,0.379,0.749,9,2,0.72
C00175,2026-03-30,45-54,76,low,new_digital_native,52.45,30.77,0.583,0.552,0.328,3,8,0.485
C00176,2025-12-17,55+,01,high,lapsed_reactivatable,346.33,81.99,0.22,0.441,0.523,5,159,0.251
C00177,2025-01-18,18-24,53,low,family_bulk_weekly,12059.22,124.77,1.461,0.556,0.231,5,0,0.663
C00178,2026-04-05,18-24,52,low,new_digital_native,42.12,44.53,0.389,0.405,0.454,5,0,0.503
C00179,2024-08-09,18-24,76,low,weekend_browser_bargain,2648.65,37.96,0.709,0.973,0.071,5,3,0.404
C00180,2025-10-04,25-34,03,high,corporate_gifter_seasonal,1340.71,308.07,0.139,0.419,0.817,5,3,0.714
C00181,2026-04-19,35-44,54,low,new_digital_native,159.23,75.21,2.0,0.502,0.39,2,21,0.224
C00182,2025-03-27,35-44,11,high,lapsed_reactivatable,607.68,49.85,0.214,0.573,0.251,3,117,0.329
C00183,2026-04-21,25-34,11,high,new_digital_native,44.26,40.89,1.0,0.228,0.33,3,21,0.341
C00184,2025-02-01,18-24,53,low,weekend_browser_bargain,2272.96,39.22,0.926,0.726,0.067,2,3,0.244
C00185,2025-01-31,55+,02,high,corporate_gifter_seasonal,2327.81,204.51,0.172,0.538,0.637,4,6,0.471
C00186,2026-03-26,55+,03,high,new_digital_native,70.88,38.57,0.5,0.49,0.359,5,19,0.146
C00187,2024-05-20,25-34,16,mid,family_bulk_weekly,12027.53,98.07,1.165,0.492,0.214,4,4,0.777
C00188,2026-04-07,25-34,78,low,new_digital_native,61.38,52.52,0.438,0.45,0.385,5,15,0.733
C00189,2024-08-31,18-24,23,mid,lapsed_reactivatable,1314.36,74.45,0.233,0.383,0.302,3,176,0.482
C00190,2025-10-23,25-34,53,low,weekend_browser_bargain,495.95,17.46,0.923,0.867,0.198,4,0,0.167
C00191,2025-11-17,35-44,11,high,weekday_luxury_regular,11440.2,204.61,2.408,0.206,0.951,8,3,0.79
C00192,2026-02-01,55+,53,low,family_bulk_weekly,487.65,65.83,0.605,0.497,0.333,5,6,0.336
C00193,2024-09-03,25-34,78,low,casual_long_tail,3305.51,61.68,0.633,0.618,0.462,4,3,0.802
C00194,2026-03-28,35-44,16,mid,new_digital_native,81.18,38.56,0.538,0.373,0.448,8,26,0.552
C00195,2025-12-15,25-34,52,low,weekend_browser_bargain,468.17,31.76,0.76,0.727,0.144,1,6,0.715
C00196,2026-04-13,18-24,23,mid,new_digital_native,46.48,44.17,0.7,0.526,0.4,1,19,0.389
C00197,2025-08-06,45-54,78,low,casual_long_tail,868.56,32.65,0.7,0.53,0.455,4,3,0.53
C00198,2026-01-19,25-34,03,high,family_bulk_weekly,1079.44,100.73,0.968,0.472,0.34,4,3,0.558
C00199,2024-07-22,45-54,10,high,family_bulk_weekly,10229.92,94.87,1.159,0.599,0.259,8,6,0.315
C00200,2025-03-13,18-24,52,low,family_bulk_weekly,10337.24,129.98,1.414,0.584,0.249,8,5,0.575
C00201,2026-04-21,45-54,76,low,new_digital_native,50.04,24.38,2.0,0.44,0.472,7,19,0.394
C00202,2026-03-30,45-54,53,low,new_digital_native,71.45,31.71,0.583,0.609,0.337,5,18,0.521
C00203,2025-05-14,25-34,54,low,weekend_browser_bargain,1222.63,32.29,0.712,0.64,0.23,4,3,0.868
C00204,2025-08-18,35-44,11,high,lapsed_reactivatable,284.05,70.05,0.113,0.53,0.339,7,137,0.792
C00205,2025-12-13,25-34,52,low,weekend_browser_bargain,291.71,21.79,0.695,0.718,0.0,1,5,0.841
C00206,2025-10-15,35-44,01,high,lapsed_reactivatable,97.37,58.27,0.074,0.483,0.303,2,151,0.584
C00207,2025-02-05,35-44,10,high,family_bulk_weekly,6461.81,83.79,1.093,0.492,0.31,6,3,0.482
C00208,2024-07-13,45-54,10,high,lapsed_reactivatable,876.81,42.79,0.194,0.332,0.417,6,68,0.455
C00209,2026-03-12,45-54,11,high,family_bulk_weekly,593.31,81.6,1.333,0.531,0.076,3,3,0.696
C00210,2024-11-08,35-44,17,mid,family_bulk_weekly,11530.68,107.11,1.556,0.522,0.319,3,4,0.61
C00211,2024-10-06,45-54,02,high,corporate_gifter_seasonal,3692.99,247.5,0.199,0.162,0.745,3,4,0.369
C00212,2026-03-18,25-34,53,low,weekend_browser_bargain,28.77,30.37,0.194,0.727,0.012,2,5,0.695
C00213,2024-09-19,25-34,02,high,lapsed_reactivatable,351.87,39.04,0.12,0.511,0.459,3,91,0.679
C00214,2025-06-18,55+,11,high,weekday_luxury_regular,21972.02,217.25,2.401,0.035,0.84,7,1,0.642
C00215,2025-07-10,25-34,10,high,lapsed_reactivatable,288.77,66.64,0.098,0.46,0.414,5,92,0.837
C00216,2026-02-26,55+,54,low,casual_long_tail,119.65,22.94,0.625,0.41,0.365,5,2,0.716
C00217,2024-06-18,35-44,52,low,lapsed_reactivatable,770.46,46.07,0.166,0.454,0.485,7,64,0.305
C00218,2025-11-19,25-34,03,high,casual_long_tail,804.37,45.33,0.723,0.36,0.362,6,5,0.538
C00219,2024-09-08,25-34,52,low,family_bulk_weekly,7337.55,80.67,1.159,0.605,0.25,4,6,0.561
C00220,2025-04-21,55+,02,high,weekday_luxury_regular,17642.32,143.87,2.689,0.118,0.834,6,4,0.508
C00221,2026-03-19,18-24,77,low,weekend_browser_bargain,131.71,33.36,0.8,0.658,0.0,3,1,0.513
C00222,2024-10-31,45-54,53,low,family_bulk_weekly,8504.91,87.15,1.39,0.506,0.272,3,5,0.459
C00223,2026-03-18,45-54,78,low,family_bulk_weekly,787.41,130.24,0.972,0.612,0.169,4,3,0.211
C00224,2025-10-07,45-54,11,high,weekday_luxury_regular,8925.77,146.83,1.944,0.127,1.0,8,0,0.578
C00225,2025-03-05,18-24,10,high,family_bulk_weekly,8620.82,111.63,1.336,0.482,0.528,4,4,0.59
C00226,2025-04-26,35-44,15,mid,family_bulk_weekly,5211.05,81.08,1.18,0.665,0.292,6,1,0.271
C00227,2025-04-11,25-34,77,low,weekend_browser_bargain,2301.56,57.22,0.761,0.728,0.24,4,3,0.452
C00228,2025-06-08,55+,52,low,casual_long_tail,1393.94,50.47,0.549,0.445,0.525,10,4,0.81
C00229,2026-04-12,45-54,02,high,new_digital_native,54.33,51.96,0.636,0.328,0.127,4,24,0.439
C00230,2026-01-28,18-24,76,low,family_bulk_weekly,972.88,94.07,0.988,0.503,0.346,4,3,0.495
C00231,2026-03-28,35-44,11,high,new_digital_native,59.04,57.1,0.269,0.35,0.598,4,5,0.648
C00232,2024-11-24,25-34,76,low,casual_long_tail,2181.43,45.82,0.72,0.596,0.436,6,2,0.506
C00233,2025-08-29,25-34,54,low,weekend_browser_bargain,639.81,24.73,0.945,0.871,0.177,2,6,0.501
C00234,2025-01-29,45-54,54,low,casual_long_tail,3100.07,71.88,0.639,0.51,0.332,4,3,0.54
C00235,2026-03-27,45-54,53,low,new_digital_native,42.83,22.31,0.519,0.335,0.552,4,25,0.287
C00236,2026-04-07,45-54,02,high,new_digital_native,41.97,37.14,0.438,0.504,0.371,5,1,0.325
C00237,2025-11-13,25-34,76,low,weekend_browser_bargain,504.76,20.1,0.957,0.889,0.073,5,1,0.542
C00238,2025-01-11,18-24,52,low,weekend_browser_bargain,2717.8,52.55,0.809,0.688,0.028,3,6,0.221
C00239,2024-12-07,18-24,53,low,family_bulk_weekly,3148.97,44.65,1.088,0.671,0.254,3,6,0.382
