image_id,class_label,defect_mode,ipc_class,aoi_flag,manual_decision
board_000275,good,none,Class_3,0,pass
board_000276,major_defect,missing_component,Class_3,1,fail
board_000277,minor_defect,contamination,Class_3,1,fail
board_000278,good,none,Class_3,0,pass
board_000279,good,none,Class_2,0,pass
board_000280,good,none,Class_2,0,pass
board_000281,good,none,Class_3,0,pass
board_000282,good,none,Class_3,0,pass
board_000283,minor_defect,scratch,Class_2,1,fail
board_000284,minor_defect,scratch,Class_2,1,fail
board_000285,good,none,Class_3,1,pass
board_000286,good,none,Class_3,0,pass
board_000287,minor_defect,contamination,Class_3,1,fail
board_000288,major_defect,solder_bridge,Class_3,1,fail
board_000289,good,none,Class_2,0,pass
board_000290,minor_defect,scratch,Class_2,1,fail
board_000291,good,none,Class_2,0,pass
board_000292,major_defect,solder_bridge,Class_2,1,fail
board_000293,good,none,Class_3,1,pass
board_000294,good,none,Class_2,0,pass
board_000295,safety_critical_defect,tombstone,Class_3,1,fail
board_000296,major_defect,missing_component,Class_3,1,fail
board_000297,minor_defect,cold_joint,Class_3,1,fail
board_000298,good,none,Class_3,0,pass
board_000299,minor_defect,scratch,Class_2,1,fail
board_000300,good,none,Class_3,0,pass
board_000301,good,none,Class_3,0,pass
board_000302,good,none,Class_3,0,pass
board_000303,good,none,Class_2,0,pass
board_000304,major_defect,tombstone,Class_2,1,fail
board_000305,major_defect,missing_component,Class_2,1,fail
board_000306,good,none,Class_3,0,pass
board_000307,minor_defect,scratch,Class_2,1,fail
board_000308,minor_defect,contamination,Class_3,0,fail
board_000309,minor_defect,scratch,Class_2,1,fail
board_000310,major_defect,tombstone,Class_3,0,fail
board_000311,good,none,Class_2,0,pass
board_000312,good,none,Class_3,0,pass
board_000313,good,none,Class_3,1,pass
board_000314,good,none,Class_3,0,pass
board_000315,good,none,Class_2,0,pass
board_000316,good,none,Class_2,0,pass
board_000317,good,none,Class_2,0,pass
board_000318,good,none,Class_3,0,pass
board_000319,good,none,Class_3,1,pass
board_000320,good,none,Class_3,1,pass
board_000321,minor_defect,scratch,Class_3,1,fail
board_000322,good,none,Class_2,0,pass
board_000323,minor_defect,scratch,Class_3,1,fail
board_000324,good,none,Class_3,0,pass
board_000325,minor_defect,scratch,Class_3,1,fail
board_000326,safety_critical_defect,tombstone,Class_3,0,fail
board_000327,minor_defect,cold_joint,Class_3,1,fail
board_000328,minor_defect,contamination,Class_3,0,fail
board_000329,minor_defect,scratch,Class_3,1,fail
board_000330,minor_defect,scratch,Class_3,1,fail
board_000331,good,none,Class_2,0,pass
board_000332,safety_critical_defect,tombstone,Class_2,0,fail
board_000333,good,none,Class_3,0,pass
board_000334,good,none,Class_3,0,pass
board_000335,good,none,Class_3,0,pass
board_000336,minor_defect,cold_joint,Class_3,1,fail
board_000337,good,none,Class_2,0,pass
board_000338,good,none,Class_3,1,pass
board_000339,good,none,Class_2,0,pass
board_000340,good,none,Class_2,0,pass
board_000341,minor_defect,cold_joint,Class_3,0,fail
board_000342,good,none,Class_3,0,pass
board_000343,good,none,Class_2,0,pass
board_000344,minor_defect,scratch,Class_3,0,fail
board_000345,good,none,Class_3,0,pass
board_000346,good,none,Class_2,0,pass
board_000347,good,none,Class_2,0,pass
board_000348,safety_critical_defect,solder_bridge,Class_3,1,fail
board_000349,good,none,Class_3,0,pass
board_000350,minor_defect,cold_joint,Class_2,0,fail
board_000351,good,none,Class_3,0,pass
board_000352,good,none,Class_3,0,pass
board_000353,good,none,Class_3,0,pass
board_000354,good,none,Class_3,0,pass
board_000355,good,none,Class_3,0,pass
board_000356,good,none,Class_2,0,pass
board_000357,good,none,Class_3,0,pass
board_000358,major_defect,missing_component,Class_3,1,fail
board_000359,good,none,Class_2,0,pass
board_000360,minor_defect,contamination,Class_3,1,fail
board_000361,minor_defect,cold_joint,Class_3,0,fail
board_000362,good,none,Class_2,0,pass
board_000363,minor_defect,scratch,Class_3,0,fail
board_000364,good,none,Class_3,0,pass
board_000365,good,none,Class_3,0,pass
board_000366,good,none,Class_3,0,pass
board_000367,major_defect,tombstone,Class_2,1,fail
board_000368,good,none,Class_3,0,pass
board_000369,good,none,Class_3,0,pass
board_000370,good,none,Class_3,1,pass
board_000371,good,none,Class_3,1,pass
board_000372,minor_defect,cold_joint,Class_3,1,fail
board_000373,good,none,Class_2,0,pass
board_000374,good,none,Class_2,0,pass
board_000375,minor_defect,contamination,Class_2,0,fail
board_000376,minor_defect,cold_joint,Class_3,1,fail
board_000377,minor_defect,scratch,Class_3,1,fail
board_000378,good,none,Class_2,1,pass
board_000379,good,none,Class_2,0,pass
board_000380,good,none,Class_2,0,pass
board_000381,major_defect,missing_component,Class_3,1,fail
board_000382,good,none,Class_3,1,pass
board_000383,minor_defect,scratch,Class_3,1,fail
board_000384,major_defect,solder_bridge,Class_2,0,fail
board_000385,good,none,Class_3,1,pass
board_000386,minor_defect,contamination,Class_2,1,fail
board_000387,good,none,Class_3,0,pass
board_000388,good,none,Class_3,0,pass
board_000389,good,none,Class_3,0,pass
board_000390,good,none,Class_3,0,pass
board_000391,good,none,Class_3,0,pass
board_000392,good,none,Class_3,1,pass
board_000393,good,none,Class_2,0,pass
board_000394,major_defect,solder_bridge,Class_3,1,fail
board_000395,good,none,Class_2,1,pass
board_000396,good,none,Class_2,1,pass
board_000397,good,none,Class_3,0,pass
board_000398,good,none,Class_3,1,pass
board_000399,minor_defect,scratch,Class_2,1,fail
board_000400,minor_defect,cold_joint,Class_2,1,fail
board_000401,minor_defect,scratch,Class_3,1,fail
board_000402,good,none,Class_3,1,pass
board_000403,good,none,Class_3,0,pass
board_000404,good,none,Class_3,0,pass
board_000405,good,none,Class_2,0,pass
board_000406,good,none,Class_2,0,pass
board_000407,good,none,Class_3,0,pass
board_000408,good,none,Class_3,0,pass
board_000409,good,none,Class_3,0,pass
board_000410,good,none,Class_3,0,pass
board_000411,major_defect,missing_component,Class_3,1,fail
board_000412,minor_defect,cold_joint,Class_2,0,fail
board_000413,good,none,Class_3,0,pass
board_000414,good,none,Class_3,0,pass
board_000415,good,none,Class_3,1,pass
board_000416,good,none,Class_2,0,pass
board_000417,good,none,Class_2,0,pass
board_000418,good,none,Class_3,0,pass
board_000419,good,none,Class_2,0,pass
board_000420,good,none,Class_3,0,pass
board_000421,good,none,Class_3,0,pass
board_000422,good,none,Class_3,0,pass
board_000423,good,none,Class_3,0,pass
board_000424,good,none,Class_2,0,pass
board_000425,good,none,Class_3,0,pass
board_000426,good,none,Class_3,0,pass
board_000427,good,none,Class_2,0,pass
board_000428,good,none,Class_3,0,pass
board_000429,good,none,Class_3,1,pass
board_000430,good,none,Class_3,0,pass
board_000431,good,none,Class_3,0,pass
board_000432,good,none,Class_3,0,pass
board_000433,good,none,Class_3,0,pass
board_000434,good,none,Class_3,0,pass
board_000435,good,none,Class_2,0,pass
board_000436,good,none,Class_3,0,pass
board_000437,good,none,Class_3,0,pass
board_000438,good,none,Class_2,0,pass
board_000439,good,none,Class_2,0,pass
board_000440,major_defect,solder_bridge,Class_3,1,fail
board_000441,good,none,Class_2,0,pass
board_000442,good,none,Class_2,0,pass
board_000443,good,none,Class_3,0,pass
board_000444,good,none,Class_3,0,pass
board_000445,good,none,Class_2,0,pass
board_000446,major_defect,missing_component,Class_2,1,fail
board_000447,good,none,Class_2,0,pass
board_000448,minor_defect,cold_joint,Class_3,1,fail
board_000449,minor_defect,scratch,Class_2,1,fail
board_000450,good,none,Class_2,0,pass
board_000451,good,none,Class_2,0,pass
board_000452,good,none,Class_3,0,pass
board_000453,good,none,Class_3,0,pass
board_000454,good,none,Class_3,0,pass
board_000455,major_defect,solder_bridge,Class_3,1,fail
board_000456,good,none,Class_3,0,pass
board_000457,good,none,Class_2,0,pass
board_000458,safety_critical_defect,solder_bridge,Class_2,1,fail
board_000459,good,none,Class_3,0,pass
board_000460,good,none,Class_3,0,pass
board_000461,good,none,Class_3,0,pass
board_000462,good,none,Class_2,0,pass
board_000463,good,none,Class_3,0,pass
board_000464,good,none,Class_3,0,pass
board_000465,safety_critical_defect,missing_component,Class_3,1,fail
board_000466,major_defect,solder_bridge,Class_2,0,fail
board_000467,good,none,Class_2,0,pass
board_000468,good,none,Class_2,0,pass
board_000469,minor_defect,scratch,Class_2,1,fail
board_000470,good,none,Class_2,0,pass
board_000471,minor_defect,scratch,Class_2,1,fail
board_000472,good,none,Class_3,1,pass
board_000473,minor_defect,scratch,Class_3,0,fail
board_000474,good,none,Class_2,0,pass
board_000475,major_defect,missing_component,Class_3,1,fail
board_000476,good,none,Class_3,0,pass
board_000477,good,none,Class_3,0,pass
board_000478,major_defect,missing_component,Class_3,0,fail
board_000479,major_defect,missing_component,Class_3,0,fail
board_000480,minor_defect,scratch,Class_3,1,fail
board_000481,major_defect,solder_bridge,Class_3,1,fail
board_000482,safety_critical_defect,solder_bridge,Class_2,1,fail
board_000483,good,none,Class_2,0,pass
board_000484,good,none,Class_3,0,pass
board_000485,safety_critical_defect,tombstone,Class_2,1,fail
board_000486,good,none,Class_2,0,pass
board_000487,good,none,Class_3,0,pass
board_000488,minor_defect,scratch,Class_3,1,fail
board_000489,good,none,Class_2,0,pass
board_000490,major_defect,missing_component,Class_3,0,fail
board_000491,good,none,Class_2,0,pass
board_000492,major_defect,missing_component,Class_2,1,fail
board_000493,good,none,Class_3,0,pass
board_000494,good,none,Class_3,0,pass
board_000495,good,none,Class_2,0,pass
board_000496,good,none,Class_3,0,pass
board_000497,good,none,Class_3,0,pass
board_000498,good,none,Class_2,0,pass
board_000499,good,none,Class_2,0,pass
board_000500,good,none,Class_3,0,pass
board_000501,minor_defect,scratch,Class_2,1,fail
board_000502,good,none,Class_3,0,pass
board_000503,minor_defect,cold_joint,Class_3,0,fail
board_000504,safety_critical_defect,solder_bridge,Class_3,0,fail
board_000505,good,none,Class_3,0,pass
board_000506,good,none,Class_3,0,pass
board_000507,good,none,Class_3,0,pass
board_000508,good,none,Class_2,0,pass
board_000509,good,none,Class_3,0,pass
board_000510,good,none,Class_3,0,pass
board_000511,minor_defect,scratch,Class_3,1,fail
board_000512,good,none,Class_2,0,pass
board_000513,good,none,Class_2,0,pass
board_000514,good,none,Class_2,0,pass
board_000515,good,none,Class_3,0,pass
board_000516,good,none,Class_3,0,pass
board_000517,good,none,Class_3,0,pass
board_000518,good,none,Class_2,0,pass
board_000519,good,none,Class_2,1,pass
board_000520,good,none,Class_2,0,pass
board_000521,good,none,Class_3,0,pass
board_000522,good,none,Class_3,0,pass
board_000523,good,none,Class_2,1,pass
board_000524,minor_defect,contamination,Class_2,0,fail
board_000525,good,none,Class_3,0,pass
board_000526,good,none,Class_3,0,pass
board_000527,good,none,Class_3,0,pass
board_000528,good,none,Class_3,0,pass
board_000529,good,none,Class_3,0,pass
board_000530,minor_defect,contamination,Class_2,1,fail
board_000531,good,none,Class_2,0,pass
board_000532,major_defect,solder_bridge,Class_2,1,fail
board_000533,good,none,Class_3,0,pass
board_000534,minor_defect,scratch,Class_3,1,fail
board_000535,safety_critical_defect,missing_component,Class_3,1,fail
board_000536,minor_defect,scratch,Class_3,0,fail
board_000537,major_defect,missing_component,Class_2,1,fail
board_000538,good,none,Class_2,1,pass
board_000539,good,none,Class_3,0,pass
board_000540,minor_defect,cold_joint,Class_3,1,fail
board_000541,minor_defect,scratch,Class_3,1,fail
board_000542,minor_defect,scratch,Class_3,1,fail
board_000543,good,none,Class_2,0,pass
board_000544,major_defect,tombstone,Class_3,0,fail
board_000545,good,none,Class_3,0,pass
board_000546,minor_defect,scratch,Class_2,1,fail
board_000547,major_defect,solder_bridge,Class_2,1,fail
board_000548,major_defect,solder_bridge,Class_3,1,fail
board_000549,good,none,Class_2,0,pass
board_000550,good,none,Class_3,0,pass
board_000551,minor_defect,cold_joint,Class_3,1,fail
board_000552,good,none,Class_2,0,pass
board_000553,good,none,Class_3,0,pass
board_000554,good,none,Class_3,0,pass
board_000555,good,none,Class_2,0,pass
board_000556,minor_defect,contamination,Class_2,1,fail
board_000557,good,none,Class_2,0,pass
board_000558,good,none,Class_2,0,pass
board_000559,minor_defect,scratch,Class_3,1,fail
board_000560,good,none,Class_3,0,pass
board_000561,good,none,Class_2,0,pass
board_000562,good,none,Class_3,0,pass
board_000563,good,none,Class_3,0,pass
board_000564,minor_defect,contamination,Class_3,1,fail
board_000565,minor_defect,cold_joint,Class_3,1,fail
board_000566,good,none,Class_2,0,pass
board_000567,good,none,Class_3,0,pass
board_000568,good,none,Class_3,0,pass
board_000569,good,none,Class_3,0,pass
board_000570,minor_defect,cold_joint,Class_3,1,fail
board_000571,good,none,Class_2,0,pass
board_000572,minor_defect,scratch,Class_3,1,fail
board_000573,good,none,Class_2,0,pass
board_000574,major_defect,solder_bridge,Class_3,0,fail
board_000575,good,none,Class_3,0,pass
board_000576,good,none,Class_3,0,pass
board_000577,good,none,Class_3,0,pass
board_000578,good,none,Class_3,0,pass
board_000579,good,none,Class_2,0,pass
board_000580,good,none,Class_3,0,pass
board_000581,major_defect,solder_bridge,Class_3,1,fail
board_000582,minor_defect,scratch,Class_2,1,fail
board_000583,minor_defect,scratch,Class_3,0,fail
board_000584,safety_critical_defect,solder_bridge,Class_2,0,fail
board_000585,good,none,Class_3,0,pass
board_000586,good,none,Class_3,0,pass
board_000587,major_defect,missing_component,Class_3,1,fail
board_000588,minor_defect,scratch,Class_3,1,fail
board_000589,safety_critical_defect,missing_component,Class_3,1,fail
board_000590,good,none,Class_3,0,pass
board_000591,good,none,Class_3,0,pass
board_000592,good,none,Class_2,1,pass
board_000593,minor_defect,cold_joint,Class_2,1,fail
board_000594,good,none,Class_3,1,pass
board_000595,good,none,Class_3,0,pass
board_000596,major_defect,solder_bridge,Class_3,1,fail
board_000597,minor_defect,scratch,Class_2,1,fail
board_000598,good,none,Class_2,0,pass
board_000599,good,none,Class_2,0,pass
board_000600,good,none,Class_2,0,pass
board_000601,good,none,Class_3,0,pass
board_000602,good,none,Class_2,0,pass
board_000603,good,none,Class_3,0,pass
board_000604,good,none,Class_2,0,pass
board_000605,good,none,Class_2,1,pass
board_000606,good,none,Class_3,0,pass
board_000607,safety_critical_defect,missing_component,Class_2,1,fail
board_000608,good,none,Class_3,0,pass
board_000609,major_defect,tombstone,Class_3,1,fail
board_000610,good,none,Class_3,0,pass
board_000611,major_defect,missing_component,Class_3,1,fail
board_000612,major_defect,missing_component,Class_3,0,fail
board_000613,minor_defect,scratch,Class_3,1,fail
board_000614,minor_defect,scratch,Class_3,1,fail
board_000615,good,none,Class_2,0,pass
board_000616,good,none,Class_3,0,pass
board_000617,minor_defect,cold_joint,Class_2,1,fail
board_000618,minor_defect,scratch,Class_3,1,fail
board_000619,major_defect,solder_bridge,Class_3,1,fail
board_000620,good,none,Class_3,0,pass
board_000621,minor_defect,scratch,Class_3,1,fail
board_000622,good,none,Class_2,0,pass
board_000623,good,none,Class_3,0,pass
board_000624,minor_defect,scratch,Class_3,1,fail
board_000625,minor_defect,scratch,Class_3,0,fail
board_000626,good,none,Class_3,0,pass
board_000627,good,none,Class_2,1,pass
board_000628,major_defect,solder_bridge,Class_3,0,fail
board_000629,good,none,Class_2,0,pass
board_000630,good,none,Class_2,1,pass
board_000631,minor_defect,scratch,Class_3,0,fail
board_000632,minor_defect,scratch,Class_2,1,fail
board_000633,good,none,Class_3,0,pass
board_000634,minor_defect,scratch,Class_2,1,fail
board_000635,good,none,Class_2,0,pass
board_000636,minor_defect,contamination,Class_3,1,fail
board_000637,good,none,Class_3,0,pass
board_000638,good,none,Class_2,0,pass
board_000639,good,none,Class_3,1,pass
board_000640,good,none,Class_2,0,pass
board_000641,good,none,Class_2,0,pass
board_000642,good,none,Class_2,0,pass
board_000643,good,none,Class_2,1,pass
board_000644,good,none,Class_3,0,pass
board_000645,good,none,Class_3,0,pass
board_000646,good,none,Class_2,0,pass
